Ruta,Tipo,Descripcion
index.html,Archivo,"Página principal que define la estructura HTML básica y enlaza scripts y estilos"
config.js,Archivo,"Script que carga archivos JSON de configuración y los guarda en localStorage antes de iniciar la aplicación"
data,Carpeta,"Contiene datos estáticos en JSON usados por la aplicación"
data/default-config.json,Archivo,"Configuración por defecto (tema, opciones generales, etc.)"
data/temas.json,Archivo,"Lista de temas visuales disponibles"
data/menu.json,Archivo,"Definición de los ítems del menú de navegación"
data/notificationes.json,Archivo,"Ejemplo de notificaciones del sistema"
data/i18n,Carpeta,"Traducciones para internacionalización (i18n)"
data/i18n/en.json,Archivo,"Textos de la interfaz en inglés"
data/i18n/es.json,Archivo,"Textos de la interfaz en español"
js,Carpeta,"Código JavaScript principal de la aplicación"
js/main.js,Archivo,"Punto de entrada que inicializa controladores y vistas"
js/controladores,Carpeta,"Controladores que coordinan interacción entre vistas y servicios (versión en español)"
js/controladores/ControladorMenu.js,Archivo,"Gestiona la interacción del menú lateral"
js/controladores/ControladorUsuario.js,Archivo,"Administra la información del usuario"
js/controladores/ControladorHeader.js,Archivo,"Controla la barra superior (header)"
js/controladores/ControladorSidebar.js,Archivo,"Controla la barra lateral (sidebar)"
js/controladores/ControladorContenido.js,Archivo,"Controla el área principal de contenido"
js/clases,Carpeta,"Clases que representan modelos de datos"
js/clases/Configuracion.js,Archivo,"Clase que encapsula la configuración de la aplicación"
js/clases/Usuario.js,Archivo,"Clase que representa un usuario"
js/managers,Carpeta,"Servicios que manejan datos y lógica reutilizable"
js/managers/I18nService.js,Archivo,"Servicio para obtener textos traducidos"
js/managers/MenuService.js,Archivo,"Servicio para obtener y estructurar el menú"
js/managers/ConfigService.js,Archivo,"Servicio para leer y guardar la configuración"
js/views,Carpeta,"Vistas encargadas de renderizar partes del DOM"
js/views/HeaderView.js,Archivo,"Renderiza y actualiza el header"
js/views/SidebarView.js,Archivo,"Renderiza y actualiza la barra lateral"
js/views/MenuView.js,Archivo,"Renderiza y gestiona el menú"
js/core,Carpeta,"Reservada para código núcleo de la aplicación (actualmente vacía)"
js/controllers,Carpeta,"Directorio alternativo (inglés) para controladores (vacío)"
js/utilidades,Carpeta,"Funciones utilitarias de apoyo"
js/utilidades/TemaHelper.js,Archivo,"Cambia y persiste el tema de color seleccionado"
js/utilidades/LocalStorageHelper.js,Archivo,"Helpers para leer y escribir en localStorage"
js/utilidades/TooltipHelper.js,Archivo,"Añade tooltips accesibles a elementos"
assets,Carpeta,"Recursos estáticos (imágenes y estilos)"
assets/img,Carpeta,"Imágenes usadas en la interfaz"
assets/img/logo-saia-dark.png,Archivo,"Logo versión oscura"
assets/img/logo-saia-light.png,Archivo,"Logo versión clara"
assets/img/logo-saia.png,Archivo,"Logo por defecto"
assets/img/avatar1.png,Archivo,"Avatar de usuario por defecto"
assets/css,Carpeta,"Hojas de estilo CSS"
assets/css/main.css,Archivo,"Estilos globales principales"
assets/css/layout,Carpeta,"Estilos relacionados con la estructura de la página"
assets/css/layout/layout.css,Archivo,"Define la distribución de header, sidebar y contenido"
assets/css/utilities,Carpeta,"Clases utilitarias reutilizables"
assets/css/utilities/utilities.css,Archivo,"Clases helper como márgenes, tamaños, etc."
assets/css/components,Carpeta,"Estilos específicos de componentes UI"
assets/css/components/components.css,Archivo,"Define estilos básicos de botones, tarjetas, etc."
assets/css/components/app.css,Archivo,"Estilos principales y temas de la aplicación"
componentes,Carpeta,"Fragmentos HTML reutilizables"
componentes/configuracion.html,Archivo,"Vista o contenido para la sección de configuración"
componentes/menu.html,Archivo,"Plantilla HTML del menú"
.git,Carpeta,"Repositorio Git (metadatos de control de versiones)"
.DS_Store,Archivo,"Archivo oculto creado por macOS (puede ignorarse)" 
